char	count
k	11916
u	10180
m	10865
b	3534
r	9889
a	66098
 	44966
g	4594
o	2668
v	13506
i	18562
y	13846
ā	11491
ṭ	4723
ī	3055
l	5045
æ	5594
n	17524
p	6657
ś	1102
e	7912
h	9551
.	4370
t	11451
ē	5872
ū	1263
ō	1565
j	1097
ṇ	2334
s	9271
d	9744
ḷ	1552
,	1391
ş	983
?	113
ṉ	931
c	922
ṁ	702
ḥ	45
ṛ	333
ḍ	1015
'	477
ǣ	413
;	22
ñ	248
(	117
)	117
:	43
ṅ	59
-	182
ṝ	3
!	23
f	56
