index	duration	text_length	ratio
1	4.996644	69	0.0651687536231884
2	4.535465	53	0.07614084905660377
3	5.297234	70	0.0685319142857143
4	11.341361	153	0.07085856862745098
5	5.138549	69	0.06722534782608695
6	8.521088	116	0.06914731034482759
7	16.785079	210	0.07754799523809523
8	8.217324	107	0.07212452336448598
9	9.649615	142	0.06443390845070424
10	21.591247	306	0.06892564379084967
11	9.539274	130	0.06953287692307693
12	13.424671	163	0.07929246012269939
13	3.913651	56	0.060958053571428576
14	13.366032	172	0.07480251162790698
15	14.851066	179	0.08017355307262569
16	9.017098	120	0.07097581666666668
17	3.600045	45	0.06888988888888889
18	4.131791	55	0.06603256363636363
19	13.434195	180	0.0718566388888889
20	16.321179	212	0.07462820283018869
21	12.480544	142	0.08437002816901408
22	10.541179	122	0.08230474590163935
23	11.509705	124	0.0887879435483871
24	11.259819	122	0.08819523770491804
25	4.554558	58	0.0699061724137931
26	12.096009	153	0.07579090849673203
27	8.427029	94	0.08433009574468084
28	4.878639	58	0.07549377586206896
29	14.762222	191	0.07467131937172775
30	8.707619	108	0.07599647222222222
31	9.152562	107	0.08086506542056074
32	5.934512	67	0.08111211940298507
33	4.172517	43	0.08540737209302325
34	12.114376	140	0.08295982857142857
35	5.158277	64	0.072785578125
36	7.431156	94	0.07373570212765958
37	8.341678	88	0.08910997727272728
38	7.868209	99	0.07442635353535354
39	8.973107	117	0.07241971794871796
40	5.854603	67	0.07991944776119403
41	7.222948	82	0.08198717073170732
42	4.613515	54	0.07617620370370369
43	10.68839	131	0.07777396946564885
44	7.607982	99	0.07179779797979798
45	4.893651	61	0.07202706557377049
46	4.110567	51	0.07079543137254901
47	9.470975	131	0.06848072519083968
48	5.034558	61	0.07433701639344262
49	7.30585	83	0.08199819277108435
50	4.036599	50	0.07073198
51	5.049025	66	0.06892462121212121
52	7.57424	99	0.0714569696969697
53	7.474875	84	0.08303422619047619
54	8.653424	110	0.07412203636363636
55	8.043855	76	0.09926125000000001
56	11.511791	152	0.07244599342105264
57	10.859002	133	0.07788723308270677
58	5.326304	70	0.0689472
59	14.752063	194	0.07346424226804124
60	6.004263	58	0.09490108620689655
61	6.672336	92	0.06709060869565217
62	4.014921	44	0.07988456818181819
63	3.997234	46	0.07602682608695653
64	14.44458	213	0.0654675117370892
65	13.162676	164	0.07721143902439025
66	9.866168	97	0.09655843298969072
67	10.428707	127	0.07817879527559055
68	15.152245	158	0.09273572784810127
69	12.626984	159	0.07627033962264151
70	3.248073	40	0.06870182500000001
71	4.335147	56	0.06848476785714286
72	3.886576	49	0.06911379591836735
73	5.88322	59	0.09124101694915254
74	4.279048	49	0.07712342857142858
75	12.906395	177	0.07009262711864407
76	6.624671	93	0.06585667741935484
77	5.753152	75	0.07004202666666667
78	5.386984	72	0.06787477777777778
79	7.568118	90	0.07853464444444444
80	4.494921	53	0.0753758679245283
81	19.580408	256	0.07453284375
82	6.777506	77	0.08152605194805194
83	5.510975	71	0.07057711267605635
84	12.619274	157	0.07719282802547771
85	22.414966	276	0.07940205072463768
86	8.448707	108	0.0735991388888889
87	8.312063	105	0.0744006
88	3.302993	31	0.09041912903225806
89	7.368798	80	0.085859975
90	15.1239	174	0.08404540229885057
91	24.071338	298	0.07909844966442953
92	23.640998	284	0.08148238732394367
93	18.325442	210	0.08488305714285714
94	9.066168	85	0.10077844705882352
